1차_분류전체,2차_분류전체,기업명,1차_업종,2차_업종,규모,근로자수,소재지,관심기업,데이터 추출일
일자리 친화,인재육성형중소기업,(주)신선촌,"농업, 임업 및 어업",농업,중소기업,30.0,충북 괴산군,6,2026-08-01 02:44:01
일자리 친화,근무혁신 우수기업,(주)동우팜투테이블,제조업,식료품 제조업,중견기업,549.0,전북 군산시,152,2026-08-01 02:44:01
일자리 친화,인재육성형중소기업,(주)하늘바이오 농업회사법인,제조업,식료품 제조업,중소기업,108.0,경남 거창군,102,2026-08-01 02:44:01
일자리 친화,최고일자리 기업,(주)면사랑,제조업,식료품 제조업,중견기업,625.0,충북 진천군,86,2026-08-01 02:44:01
일자리 친화,대한민국일자리으뜸기업,농업회사법인(주)한우물,제조업,식료품 제조업,중소기업,478.0,전북 김제시,83,2026-08-01 02:44:01
일자리 친화,대한민국일자리으뜸기업,주식회사조흥,제조업,식료품 제조업,중견기업,551.0,경기 안산시 단원구,78,2026-08-01 02:44:01
일자리 친화,인재육성형중소기업,농업회사법인 한만두식품(주),제조업,식료품 제조업,중소기업,128.0,경기 양주시,67,2026-08-01 02:44:01
일자리 친화,인재육성형중소기업,로쏘㈜,제조업,식료품 제조업,중소기업,1000.0,대전 중구,61,2026-08-01 02:44:01
일자리 친화,최고일자리 기업,(주)산과들에,제조업,식료품 제조업,중소기업,125.0,경기 포천시,53,2026-08-01 02:44:01
일자리 친화,대한민국일자리으뜸기업,(주)상신종합식품,제조업,식료품 제조업,중소기업,154.0,충남 천안시 서북구,48,2026-08-01 02:44:01
일자리 친화,인재육성형중소기업,(주)신안천사김,제조업,식료품 제조업,중소기업,138.0,,34,2026-08-01 02:44:01
일자리 친화,인재육성형중소기업,한국바이오팜(주),제조업,식료품 제조업,중소기업,45.0,충북 진천군,27,2026-08-01 02:44:01
일자리 친화,인재육성형중소기업,제일유업(주),제조업,식료품 제조업,중소기업,57.0,경기 화성시,9,2026-08-01 02:44:01
일자리 친화,인재육성형중소기업,(주)글루칸,제조업,식료품 제조업,중소기업,13.0,경남 진주시,2,2026-08-01 02:44:01
일자리 친화,근무혁신 우수기업,부산커피협동조합,제조업,식료품 제조업,,,부산 남구,0,2026-08-01 02:44:01
